"","GSM131331.DT","GSM131332.DT","GSM131335.DT","GSM131336.DT","GSM131339.DT","GSM131340.DT","GSM131343.DT","GSM131344.DT","GSM131347.DT","GSM131348.DT","GSM131351.DT","GSM131352.DT","GSM131355.DT","GSM131356.DT","GSM131259.CT","GSM131260.CT","GSM131263.CT","GSM131264.CT","GSM131267.CT","GSM131268.CT","GSM131271.CT","GSM131272.CT","GSM131275.CT","GSM131276.CT","GSM131279.CT","GSM131280.CT","GSM131455.HT","GSM131456.HT","GSM131459.HT","GSM131460.HT","GSM131463.HT","GSM131464.HT","GSM131467.HT","GSM131468.HT","GSM131307.ST","GSM131308.ST","GSM131311.ST","GSM131312.ST","GSM131315.ST","GSM131316.ST","GSM131319.ST","GSM131320.ST","GSM131323.ST","GSM131324.ST","GSM131327.ST","GSM131328.ST","GSM131223.WT","GSM131224.WT","GSM131227.WT","GSM131228.WT","GSM131231.WT","GSM131232.WT","GSM131235.WT","GSM131236.WT","GSM131239.WT","GSM131240.WT","GSM131243.WT","GSM131244.WT","GSM131247.WT","GSM131248.WT","GSM131251.WT","GSM131252.WT","GSM131255.WT","GSM131256.WT"
"250197_at","9.740748697","9.703765231","9.747168664","9.650758991","9.806437008","9.613971358","10.00346922","9.897969003","9.75007516","9.877907961","9.941671216","10.05691667","9.391715034","9.673185215","9.595441194","9.765705904","9.716660531","9.588923713","9.567438664","9.615527077","9.483295884","9.584188292","9.512876829","9.586472691","9.575512975","9.646397745","10.18848362","10.23432164","9.837250611","9.844972823","10.08857886","9.989057951","9.662599396","9.789371342","9.730922938","9.701464859","9.759053981","9.757693111","9.855089033","9.734581282","9.945562455","9.857504642","10.40647079","10.27791526","10.1939183","9.924567142","9.720316175","9.552987789","9.446948864","9.345008385","9.514820331","9.578700234","9.621520631","9.545360464","9.662023348","9.608180164","9.687813981","9.652131154","9.694995864","9.522396415","9.970701878","9.912123676","9.768596739","9.67852959"
"250206_at","12.33282633","12.14463136","12.37335616","12.32829388","12.31502233","12.1972687","11.72818007","11.6317691","11.49012383","11.56138034","12.11151469","12.24705257","11.98317549","11.94600416","12.01554006","11.80314355","11.90677588","12.03822151","12.09405848","11.96891187","11.92420366","11.98970866","11.92973908","11.72735821","11.78457163","11.92376004","11.40404522","11.15130265","11.89118781","11.81450266","12.09396203","11.58348186","11.52422712","11.70597935","11.8584711","11.97293549","11.99198514","12.10581694","11.11031065","11.27463071","11.56787178","11.69987872","12.51523919","11.89096249","12.34063183","12.35142239","12.19415907","12.01970366","11.77663261","11.80185316","11.78563929","11.94896824","12.09199583","12.18919506","11.6905283","11.76511409","11.87055094","11.66763038","11.94213394","12.00188835","12.08857634","12.15293144","11.87121864","11.93957326"
"250225_at","8.457937157","8.40181929","8.26346421","8.3645484","8.268838136","8.20058753","8.156735626","8.114216105","8.094296179","8.352614511","8.341011763","8.199679776","8.202283191","7.929913173","8.529778087","8.321379356","8.457001101","8.358047687","8.274665002","8.404386604","7.94097696","8.06830273","8.13812805","8.285482769","8.542621734","8.655051962","9.610224354","9.646913464","8.736430005","8.864510212","8.562305905","8.730167596","8.633848251","8.411693599","8.076721428","8.538715623","8.259319239","8.50619418","7.898039281","8.029998145","8.311226274","8.312752332","8.957077892","8.313952519","8.737819352","8.614572548","8.585842717","8.420237491","8.355277868","8.557087061","8.65085998","8.552721583","8.52350418","8.486353438","8.497772326","8.451661532","8.495553792","8.420888924","8.441709667","8.390863389","8.322669229","8.323077667","8.111472213","8.418910503"
"250234_at","9.680309519","9.708079346","9.892572853","10.08980135","10.02005678","9.758458173","10.11143085","10.14125608","9.627890924","9.618251836","9.642530099","9.804543056","9.693451627","9.725168395","9.92745785","9.835761604","9.962084223","9.893509211","9.722164693","9.670148576","9.691912132","9.701466841","9.683680446","9.608655352","9.839621812","9.843756071","8.914484523","8.966552796","9.252944566","9.217660726","9.497467199","9.599270086","9.989309259","10.13036214","9.537299623","9.713868655","9.551656714","9.554267976","9.637230647","9.504815153","9.971634511","9.852032058","10.12878909","9.550031599","10.33043861","10.49458073","10.52866203","9.789904915","9.490101516","9.648830101","9.599647096","9.552672025","9.709567007","9.687325584","9.736813781","9.757672386","9.989986976","9.792822102","9.59387961","9.744095752","9.429023565","9.408721316","9.66453412","9.704925548"
"250236_at","11.86443591","11.57945075","11.89084925","11.79272614","11.83351572","11.75787384","11.87533171","11.60787808","11.68283293","11.64207222","11.81453019","11.93335296","11.7403819","11.72141829","11.93977003","11.98884864","11.28219489","11.76362846","11.76161774","11.6975264","11.57740973","11.66043266","11.61042298","11.58227551","11.48127855","11.54583775","11.61729861","11.69345613","11.59867118","11.53720977","11.85347765","11.85400104","11.85976456","11.8944731","11.6799853","11.78556424","11.61136235","11.80230814","11.70649392","11.76002668","11.50259847","11.6713344","11.74375883","11.86021102","11.89073016","11.78383494","11.8546337","11.86820878","11.68153877","11.6821359","11.73131402","11.82406027","11.7923251","11.77929578","11.77230423","11.69321352","11.81808498","11.45773491","11.75480671","11.77884017","11.81930233","11.77220929","11.80327934","11.80807984"
"250409_at","11.15135704","11.28304848","11.31645887","11.17346678","11.04004566","11.31302805","11.9184961","12.04018304","13.03260665","12.97242195","12.2747675","12.31043915","11.55976653","11.50669667","11.5681701","11.48434059","11.35295263","11.31198834","11.42359007","11.53838391","11.8708741","11.57812043","11.86932963","11.88548218","11.89473117","11.94473718","12.73301045","12.65157075","13.02924919","12.90591398","12.15254637","12.36645437","11.27135397","11.36394847","11.51083598","11.47628571","11.81929267","11.39069217","12.36286293","12.14539662","12.79992097","12.75081803","12.7546405","12.43196209","11.52245755","11.62482297","11.22404875","11.40270131","11.44358272","11.5050046","11.51818911","11.38633194","11.11422858","11.285716","12.14145343","12.44491767","12.36801604","11.74953551","12.53776799","12.68698313","12.21770582","12.1669474","11.05693783","11.09684413"
"250495_at","8.668323316","8.789054659","8.578717637","8.600041469","8.575382127","8.587123952","8.728925179","8.568079611","8.599980825","8.652267549","8.444310275","8.673550044","8.682852634","8.625621216","9.007097581","8.897077927","9.163624497","8.394918652","8.538566006","8.534305446","8.464089256","8.586435591","8.138937955","8.145667293","7.972288505","8.020996557","9.538659574","9.890127528","9.359558082","9.212177291","8.804043663","9.268367093","9.231411356","9.12137275","8.517644438","8.601012354","8.551408777","8.719428927","8.62696142","8.679831144","8.285043076","8.211454121","8.724669334","8.412806126","8.534880376","8.346154876","8.600139238","8.76548833","8.50857633","8.460122455","8.594370473","8.677505505","8.566467387","8.738321783","8.67210447","8.652723865","8.427070253","8.546204375","8.256547","8.560301128","8.581700978","8.62507509","8.713082267","8.663177612"
"250502_at","10.04418257","9.920022473","10.19080976","10.13810803","10.35283974","10.1998018","10.32735629","10.20574194","9.670163601","9.590835143","10.06176821","9.795643837","10.05116775","9.831105568","10.26960409","10.20008634","10.44217912","10.18375406","10.10107237","10.18634356","9.681973999","9.716193116","9.640868093","9.421333779","10.66539612","10.62604978","10.77291939","10.44785999","8.967890547","8.934285676","9.981797374","9.888969865","10.17039218","10.18736822","9.645761889","9.731038121","9.199360054","9.745899612","9.566720447","9.429673851","9.706936299","9.846024911","10.29485831","10.54261301","11.71927139","11.59300292","10.67342018","10.30605497","9.780713912","9.695636106","9.401554313","9.485561585","9.203434672","10.00613153","9.389613101","9.249245556","10.12728081","10.04800153","9.516813728","9.775576555","9.821662439","9.913478593","9.723184922","9.891967019"
"250515_at","7.911729064","7.688267107","7.955189","7.77102317","7.969269902","7.772561567","7.767894893","7.749949433","7.81871844","7.785835865","7.858732625","7.660556919","7.849766562","7.700081142","7.900247803","8.056432796","8.024094058","8.123580465","7.954361266","7.913554477","8.017170638","8.076265022","7.904932349","7.907164943","8.263334771","8.141783985","8.245149696","8.241642667","8.102099785","7.924293256","8.331602693","8.1568572","7.908270385","7.90441432","7.920802588","7.824522467","7.929184359","7.672793806","7.928001638","8.157913812","8.072560719","8.069557147","8.141239872","8.301570707","8.236452963","7.975751865","7.950223367","7.872896121","7.868724827","7.812891169","7.970341135","7.955021953","7.895675386","7.877287359","7.866230817","7.858446985","7.912084754","7.893984764","7.867939771","8.00946633","7.949483921","7.919459286","8.024073406","8.042895433"
"250554_at","8.994946904","8.864438232","8.91067262","9.014285025","8.903052571","8.693579528","8.58749088","8.619325499","8.848481881","8.779360623","8.910935291","8.822823358","8.915137886","8.759290482","9.163868245","9.243392526","9.187260848","8.825985102","8.780826519","8.664785193","8.624903318","8.854395922","8.709529408","8.735907684","8.86124251","8.796589139","10.21326004","10.36631172","9.573395149","9.793276611","9.087353569","9.220346366","9.094165758","9.188854628","8.927937434","8.796171562","9.123646423","9.206372793","8.549435969","8.635761374","8.572499934","8.68660973","9.174847223","8.491345896","8.600573795","8.432004796","8.982691903","8.815067853","8.680306884","8.659314053","8.734836534","8.983135423","9.034671466","9.21732246","9.043591867","8.975814122","9.160976451","9.214788368","9.290567017","9.282419432","9.136196702","9.158421776","8.911900122","8.806791034"
